run,task,seed,agent,probe_acc,acc_own,acc_partner,acc_both,acc_none,pre_true,post_true,post_own_decoy,key_rate,trap_rate,fallbacks,unparsed_probes
Qwen32_m3_main,t5_bodyparts,0,A,0.6,0.3333333333333333,0.5,0.75,1.0,False,True,False,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m3_main,t5_bodyparts,0,B,0.6,0.5,0.3333333333333333,0.75,1.0,False,False,True,1.0,1.0,0,0
Qwen32_m3_main,t6_weather,0,A,0.7,0.5,0.5,0.8,1.0,False,False,True,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m3_main,t6_weather,0,B,0.7,0.5,0.5,0.8,1.0,True,True,False,0.6666666666666666,0.6666666666666666,0,0
Qwen32_m2_static,t1_animals,0,A,0.8,0.0,1.0,0.6666666666666666,1.0,False,True,False,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_static,t1_animals,0,B,0.6,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,True,False,True,0.0,1.0,0,0
Qwen32_m2_static,t2_foods,0,A,0.4,0.5,,0.25,0.5,False,True,False,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_static,t2_foods,0,B,0.6,,0.75,0.25,1.0,True,True,False,0.0,1.0,0,0
Qwen32_m2_static,t3_vehicles,0,A,0.2,0.5,0.0,0.0,1.0,False,False,True,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_static,t3_vehicles,0,B,0.4,0.0,0.5,0.5,1.0,True,False,False,0.0,1.0,0,0
Qwen32_m2_static,t4_instruments,0,A,1.0,1.0,1.0,1.0,1.0,False,False,False,0.3333333333333333,0.0,0,0
Qwen32_m2_static,t4_instruments,0,B,1.0,1.0,1.0,1.0,1.0,True,False,True,0.0,1.0,0,0
Qwen32_m2_static,t5_bodyparts,0,A,0.8,1.0,0.5,0.75,1.0,False,True,False,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_static,t5_bodyparts,0,B,0.6,0.5,0.6666666666666666,0.75,0.0,False,False,True,0.0,1.0,0,0
Qwen32_m2_static,t6_weather,0,A,0.8,0.5,0.5,1.0,1.0,False,False,True,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_static,t6_weather,0,B,0.8,0.5,0.5,1.0,1.0,True,False,False,0.0,1.0,0,0
Qwen32_m2_diffmis,t1_animals,0,A,0.9,0.0,1.0,1.0,1.0,True,True,False,0.6666666666666666,0.3333333333333333,0,0
Qwen32_m2_diffmis,t1_animals,0,B,1.0,1.0,1.0,1.0,1.0,True,True,False,0.6666666666666666,0.3333333333333333,0,0
Qwen32_m2_diffmis,t2_foods,0,A,0.9,0.75,,1.0,1.0,False,False,False,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_diffmis,t2_foods,0,B,0.9,,0.75,1.0,1.0,True,False,True,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_diffmis,t3_vehicles,0,A,0.7,1.0,0.6666666666666666,0.5,1.0,False,False,True,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_diffmis,t3_vehicles,0,B,0.5,0.3333333333333333,0.0,1.0,0.0,True,True,False,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_main,t1_animals,0,A,0.8,0.0,1.0,1.0,0.6666666666666666,False,True,False,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_main,t1_animals,0,B,0.8,1.0,1.0,0.6666666666666666,0.6666666666666666,True,True,False,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_main,t2_foods,0,A,0.7,0.5,,0.75,1.0,False,False,True,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_main,t2_foods,0,B,0.8,,0.5,1.0,1.0,True,False,False,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_main,t3_vehicles,0,A,0.6,1.0,0.6666666666666666,0.25,1.0,False,False,True,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_main,t3_vehicles,0,B,0.7,0.6666666666666666,0.0,1.0,1.0,True,False,False,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_main,t4_instruments,0,A,0.9,0.5,1.0,1.0,1.0,False,True,False,0.3333333333333333,0.0,0,0
Qwen32_m2_main,t4_instruments,0,B,1.0,1.0,1.0,1.0,1.0,True,False,True,0.3333333333333333,0.3333333333333333,1,0
Qwen32_m2_main,t5_bodyparts,0,A,0.8,1.0,0.5,0.75,1.0,False,False,False,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_main,t5_bodyparts,0,B,0.5,0.5,1.0,0.0,1.0,False,False,True,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_main,t6_weather,0,A,0.8,0.5,0.5,1.0,1.0,False,True,False,0.3333333333333333,0.3333333333333333,0,0
Qwen32_m2_main,t6_weather,0,B,0.6,0.0,0.0,1.0,1.0,True,True,False,0.3333333333333333,0.0,0,0
